epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7273,1.22742,2.50107,1.44138,0.81882,0.62921,0.76397,0.42369,1.33977,2.2286,1.78057,0.000648649,0.000648649,0.000648649
2,41.316,1.34306,1.31903,1.5066,0.54545,0.26966,0.32772,0.13173,1.99778,15.3592,2.70522,0.00130229,0.00130229,0.00130229
3,58.319,1.41036,1.31481,1.51638,0.12304,0.4382,0.0985,0.02756,2.69517,14.754,4.79894,0.00194274,0.00194274,0.00194274
4,75.4526,1.41808,1.26277,1.51757,0.11709,0.30337,0.09964,0.05628,3.33568,34.2657,4.33698,0.0019406,0.0019406,0.0019406
5,92.6153,1.3868,1.17861,1.46527,0.54038,0.61798,0.63979,0.35609,1.87856,2.87008,2.15818,0.0019208,0.0019208,0.0019208
6,109.918,1.33584,1.13297,1.44804,0.65628,0.55056,0.5763,0.29496,2.06421,2.53617,2.20859,0.001901,0.001901,0.001901
7,127.794,1.30837,1.11819,1.47027,0.62762,0.30301,0.33698,0.21581,2.43782,3.05069,2.80166,0.0018812,0.0018812,0.0018812
8,145.857,1.23128,1.00509,1.39781,0.79279,0.82022,0.88447,0.55896,1.29121,1.09862,1.56353,0.0018614,0.0018614,0.0018614
9,163.393,1.2807,1.03118,1.41491,0.8242,0.84286,0.89862,0.52217,1.3685,1.08598,1.63272,0.0018416,0.0018416,0.0018416
10,180.384,1.26704,0.97356,1.41801,0.81745,0.77528,0.82599,0.51738,1.43821,1.10695,1.66368,0.0018218,0.0018218,0.0018218
11,198.24,1.15144,0.89661,1.34135,0.82676,0.8764,0.91636,0.59277,1.20818,1.16888,1.47386,0.001802,0.001802,0.001802
12,211.442,1.09886,0.8778,1.29906,0.8851,0.86556,0.94555,0.63545,1.11065,0.91774,1.45287,0.0017822,0.0017822,0.0017822
13,224.175,1.15873,0.88827,1.32753,0.94596,0.89888,0.96666,0.6442,1.14739,0.80936,1.5329,0.0017624,0.0017624,0.0017624
14,236.344,1.09376,0.85337,1.29932,0.93904,0.88764,0.94851,0.64469,1.19672,0.80753,1.53839,0.0017426,0.0017426,0.0017426
15,248.479,1.03577,0.80814,1.25064,0.85897,0.95506,0.96581,0.65851,1.08453,0.78602,1.46212,0.0017228,0.0017228,0.0017228
16,260.897,1.06762,0.79044,1.28558,0.91783,0.87851,0.93004,0.65925,1.13943,0.85403,1.44172,0.001703,0.001703,0.001703
17,273.416,1.04219,0.80342,1.27595,0.8966,0.93258,0.96273,0.70358,0.95122,0.64897,1.3246,0.0016832,0.0016832,0.0016832
18,285.953,1.02381,0.79884,1.28223,0.95061,0.86517,0.9587,0.65578,1.10033,0.7492,1.42676,0.0016634,0.0016634,0.0016634
19,298.534,0.98908,0.74769,1.22825,0.92419,0.89888,0.96246,0.70753,1.03737,0.66602,1.3874,0.0016436,0.0016436,0.0016436
20,311.372,0.99664,0.73145,1.23944,0.94378,0.94318,0.98234,0.69419,1.05468,0.63783,1.42585,0.0016238,0.0016238,0.0016238
21,323.983,0.95801,0.71116,1.21933,0.97627,0.92449,0.98306,0.71929,1.05407,0.58061,1.44511,0.001604,0.001604,0.001604
22,336.73,0.93163,0.66919,1.1842,0.94406,0.94816,0.98152,0.71914,1.05251,0.66353,1.42692,0.0015842,0.0015842,0.0015842
23,349.213,0.94264,0.69558,1.21525,0.9252,0.97753,0.9717,0.70899,0.98932,0.60497,1.30226,0.0015644,0.0015644,0.0015644
24,361.644,0.95709,0.68266,1.21158,0.97617,0.92041,0.96777,0.71265,0.99794,0.67727,1.34901,0.0015446,0.0015446,0.0015446
25,374.052,0.95248,0.69737,1.22277,0.93047,0.95506,0.98537,0.72768,0.94489,0.57608,1.32091,0.0015248,0.0015248,0.0015248
26,386.749,0.90905,0.67129,1.17224,0.94499,0.96514,0.98377,0.72619,0.93317,0.58618,1.29978,0.001505,0.001505,0.001505
27,399.315,0.86674,0.61744,1.1644,0.96647,0.97156,0.97914,0.76788,0.86092,0.59449,1.23817,0.0014852,0.0014852,0.0014852
28,412.436,0.89701,0.64136,1.158,0.97744,0.97343,0.99041,0.75047,0.90571,0.48393,1.31496,0.0014654,0.0014654,0.0014654
29,425.16,0.89516,0.63744,1.16575,0.98688,1,0.99489,0.77487,0.83544,0.49199,1.23306,0.0014456,0.0014456,0.0014456
30,437.77,0.86168,0.62885,1.16117,0.91143,0.95506,0.974,0.73238,0.9435,0.57555,1.30848,0.0014258,0.0014258,0.0014258
31,450.586,0.86198,0.6195,1.14775,0.9222,0.94382,0.97939,0.77155,0.80208,0.54592,1.23399,0.001406,0.001406,0.001406
32,463.568,0.85332,0.62225,1.16755,0.96548,0.97753,0.98335,0.79545,0.78261,0.56418,1.17865,0.0013862,0.0013862,0.0013862
33,476.757,0.83351,0.60699,1.14801,0.96579,0.95174,0.98574,0.77332,0.88354,0.52119,1.28719,0.0013664,0.0013664,0.0013664
34,490.107,0.86544,0.60528,1.16797,0.94748,0.94382,0.9852,0.74169,0.92463,0.57932,1.29689,0.0013466,0.0013466,0.0013466
35,503.619,0.86959,0.60662,1.16258,0.94515,0.96803,0.98736,0.78618,0.81272,0.52776,1.20438,0.0013268,0.0013268,0.0013268
36,516.533,0.80379,0.56572,1.13021,0.9556,0.96725,0.99026,0.75952,0.93538,0.50162,1.33831,0.001307,0.001307,0.001307
37,529.188,0.83365,0.59307,1.15219,0.97774,0.98713,0.98947,0.79306,0.77744,0.46847,1.18449,0.0012872,0.0012872,0.0012872
38,541.824,0.78877,0.56389,1.1017,0.97799,0.99834,0.99032,0.80344,0.79869,0.46307,1.20722,0.0012674,0.0012674,0.0012674
39,554.715,0.77726,0.5512,1.11782,0.95458,1,0.98482,0.77905,0.85257,0.47916,1.25999,0.0012476,0.0012476,0.0012476
40,567.442,0.76257,0.54354,1.10079,0.93525,0.97381,0.98714,0.78734,0.81063,0.48948,1.22534,0.0012278,0.0012278,0.0012278
41,580.055,0.79214,0.55034,1.11103,0.94508,0.96675,0.98602,0.78996,0.90958,0.52337,1.23983,0.001208,0.001208,0.001208
42,593.513,0.76861,0.54098,1.10413,0.97629,1,0.99412,0.8148,0.75491,0.43934,1.17752,0.0011882,0.0011882,0.0011882
43,606.399,0.74663,0.51974,1.09902,0.96665,0.97715,0.98161,0.78683,0.79904,0.47749,1.18423,0.0011684,0.0011684,0.0011684
44,618.785,0.74594,0.526,1.08076,0.9418,0.98876,0.97707,0.77804,0.73794,0.46871,1.14795,0.0011486,0.0011486,0.0011486
45,631.022,0.77925,0.54308,1.1179,0.94562,0.97695,0.98815,0.76822,0.87918,0.48109,1.24881,0.0011288,0.0011288,0.0011288
46,644.235,0.7703,0.56061,1.11607,0.97176,0.95506,0.99015,0.7856,0.85039,0.4924,1.21612,0.001109,0.001109,0.001109
47,657.371,0.7781,0.53968,1.10125,0.95458,0.94468,0.98737,0.77699,0.89284,0.49796,1.24744,0.0010892,0.0010892,0.0010892
48,670.082,0.74049,0.52899,1.082,0.94571,0.94382,0.97719,0.78738,0.73743,0.46237,1.13609,0.0010694,0.0010694,0.0010694
49,682.839,0.71338,0.5008,1.07987,0.96594,0.95605,0.98908,0.82599,0.7017,0.46024,1.15566,0.0010496,0.0010496,0.0010496
50,696.024,0.71695,0.51445,1.06593,0.97735,0.96977,0.99172,0.80651,0.75921,0.44398,1.16184,0.0010298,0.0010298,0.0010298
51,709.48,0.73282,0.49522,1.07254,0.94615,0.98704,0.98316,0.80416,0.73908,0.3981,1.13802,0.00101,0.00101,0.00101
52,722.143,0.69674,0.47577,1.05228,0.93947,0.97753,0.99046,0.81066,0.76695,0.44101,1.16754,0.0009902,0.0009902,0.0009902
53,734.966,0.6812,0.46941,1.05006,0.93495,0.98876,0.98296,0.79746,0.78645,0.45913,1.21278,0.0009704,0.0009704,0.0009704
54,747.943,0.68922,0.48079,1.04738,0.9733,0.98876,0.98802,0.81884,0.75444,0.41635,1.17682,0.0009506,0.0009506,0.0009506
55,760.611,0.69481,0.47322,1.06464,0.97725,0.96515,0.98418,0.80134,0.78229,0.46073,1.2089,0.0009308,0.0009308,0.0009308
56,773.537,0.68183,0.46692,1.06596,0.94546,0.97753,0.98511,0.81946,0.74711,0.47191,1.14058,0.000911,0.000911,0.000911
